Hệ Thống Open Chức Năng Bot Cảm Xúc! Trải Nghiệm Miễn Phí 1 Tháng!!||21:19 20/11/2017
Vip Cảm Xúc Chạy Đa Luồng. Không Để cho Stt Của Bạn Thiếu 1 Cảm Xúc nào cả !||21:29 20/11/2017
Đối Với VIP LIKE: Các bạn lưu ý sử dụng hashtag #l_SốLike để tùy chỉnh số số like muốn tăng ở bài post đó, ví dụ #l_50 thì số Like tối đa là 50 Like.||21:29 20/11/2017
Ảnh Đại Diện Và Ảnh Bìa Thêm hashtag : #okk Để Nhảy Like!||21:29 20/11/2017
Hệ thống đang sử dụng dữ liệu ngày 16-11-2017. Vậy các tài khoản kể từ ngày 16-11 đến ngày 22-11 vui lòng liên hệ facebook admin fb.com/100009580369715. Để được hỗ trợ bồi thường!.(lưu í chỉ inbox Vũ Tiến Anh mới nhận được bồi thường) Cảm ơn các bạn!||11:51 24/11/2017
BOT CẢM XÚC NÂNG GIÁ CÀI 30K/ 1 THÁNG. !!!||22:12 26/11/2017
HIỆN TẠI CÓ THỂ NẠP TIỀN VÀ THÊM UID VIP LIKE NHÉ! BẢO TRÌ VIP CẢM XÚC . CHỈ CHẠY LIKE!||14:32 30/11/2017
[UPDATE] FIX EDIT BOT CẢM XÚC ĐÃ EDIT ĐƯỢC!||14:34 30/11/2017
YÊU CẦU CÁC TÀI KHOẢN CẬP NHẬP LẠI THÔNG TIN CỦA MÌNH TẠI MỤC MEMBER TRÁNH BỊ QUÉT XÓA TÀI KHOẢN TRÊN HỆ THỐNG!||22:49 30/11/2017
Bảo Trì Định Kì Từ 5/12 Đến 6/12 Nhé Các Bạn!||20:07 05/12/2017
HIỆN TẠI CÁC TÀI KHOẢN TẠM THỜI KHÔNG THÊM ID VIP LIKE  VÀO HỆ THỐNG. CHỜ CÓ THÔNG BÁO MỚI NHẤT TỪ ADMIN NHÉ!||21:00 08/12/2017
- Không chỉ riêng mình, mình biết các bạn cũng sẽ rất khó chịu về vấn đề này. Thực chất mình cũng không muốn điều này xảy ra. Hệ thống chạy theo từ facebook. Nếu bên facebook có update hay làm bất cứ điều gì đó hệ thống đều bị ảnh hưởng. Vậy mong các bạn thông cảm!Các chức năng còn lại hoạt động bình thường!||22:53 16/12/2017
- Hiện tại do Facebook Đang auto quét die hết token hệ thống. Vì vậy các tài khoản viplike đang sử dụng tạm thời treo chờ facebook ổn định lại sẽ chạy lại nhé!||22:53 16/12/2017
KHI BOT CẢM XÚC KHÔNG CHẠY. HÃY KIỂM TRA LẠI TOKEN HOẶC THẢ THỬ 1 STT XEM CÓ BỊ BLOCK THẢ CẢM XÚC KHÔNG NHÉ! *CHỌN CHẠY 1 PHÚT 1 TIM ĐỂ CHẠY MƯỢT VÀ LÂU DIE TOKEN NHẤT*||18:57 25/12/2017
Chạy lại vip like - Mở add vip!||22:16 27/12/2017
HAPPY NEW YEAR 2018 - CHÚC TOÀN THỂ MEMBER HỆ THỐNG NĂM MỚI VUI VẺ VÀ THẬT HẠNH PHÚC!||00:00 01/01/2018
KHUYẾN MẠI 50% GIÁ TRỊ THẺ NẠP TRỰC TIẾP TẠI HỆ THỐNG! ĐẾN HẾT 14:14 10/01/2018||14:15 04/01/2018
Tham Gia GR HỖ TRỢ THÀNH VIÊN http://bit.ly/SupportVTASYSTEM !!!||14:36 05/01/2018
Xóa UID VIPLIKE HẾT HẠN bằng  cách vào phần quản lý UID kéo xuống dưới chọn xóa ID muốn Xóa là thành công!||22:05 05/01/2018
[UPDATE + FIX] BOT CẢM XÚC \n- Fix chỉnh sửa id bot cảm xúc : token - loại cx - tốc độ - trạng thái \n- Update xóa id cảm xúc!||18:26 07/01/2018
🔊 Khuyến Mại 20% giá trị thẻ nạp trực tiếp tại hệ thống! 💲Thời Gian : Từ 14:14 10/01/2018 Đến 14:14 20/01/2018. !! Đặc biệt mỗi lần nạp thẻ được tặng Thêm lượt like buzz! ||13:47 10/01/2018
Hệ thống mở cổng hộ trợ trực tiếp trên trang web. Nếu có lỗi hoặc yêu cầu về dịch vụ vui lòng tạo ticket ở bên thanh công cụ bên trái. Cảm ơn!||23:48 11/01/2018
Bảo trì add vip bot cmt! ||00:00 14/01/2018
đã có thể add vip bot cmt <3||11:59 14/01/2018
Cập nhập ID Facebook - Thông tin cá nhân chính sác! Hệ thống chuẩn bị đợt quét tài khoản ảo!||12:46 17/01/2018
🔊 Khuyến Mại 10% giá trị thẻ nạp trực tiếp tại hệ thống!💲Thời Gian : Từ 14:14 20/01/2018 Đến 14:14 31/01/2018Đặc biệt mỗi lần nạp thẻ được tặng Thêm lượt like buzz! ||22:31 20/01/2018
Mở Thêm Gói 50 Cảm Xúc và 100 Cảm Xúc . Mại Dzo Dzo||23:54 20/01/2018
